排名,排名变化,游戏名称,发行公司,昨日新增下载量,icon,类别,appid,公司名称,公司链接
21,0,欢乐人人斗地主,广州汶颢信息技术有限公司,43078,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwOTIwLzIwMTgwOTIwMTA1OTU4Mjk3OTI4Ny5wbmc=,单机榜,3602642,-,无
22,0,宾果消消消,北京柠檬微趣科技股份有限公司,36395,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjQ0NTI2NV8xNTQ0MTU0OTU1LzI1Ng==,单机榜,1954401,-,无
23,0,奥特曼传奇英雄,合肥乐堂动漫信息技术有限公司,28500,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwMS8yMDE4MDExOTExNTk1ODcwOTI5MTUucG5n,单机榜,5612248,-,无
24,0,火柴人战争：遗产,天津羽仁科技有限公司,75536,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTA1LzIwMTgxMTA1MTA0ODIzMTA2NDMwOC5qcGc=,单机榜,6747885,-,无
25,0,登山赛车,来自互联网,7293,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3AzLnFoaW1nLmNvbS90MDFlZTcyMzU5YTNjOTcxYTc3LndlYnA=,单机榜,119673,北京唯我乐园信息技术有限公司,https://www.qimai.cn/company/product/id/30718
26,0,中国象棋,北京蓝色创想网络科技有限责任公司,38004,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTcwOC8yMDE3MDgwMTE2MzU0ODgwNDIxNC5wbmc=,单机榜,4590734,北京蓝色创想网络科技有限责任公司,https://www.qimai.cn/company/product/id/30741
27,0,欢乐斗地主四人玩法（玩法合集）,霍尔果斯蒲公英网络科技有限公司,25386,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwOTIwLzIwMTgwOTIwMTQxMTA5MzEwNjY0MC5wbmc=,单机榜,1965690,-,无
28,0,最后的子弹（变形机器人英雄）,天津羽仁科技有限公司,43188,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwOTI2LzIwMTgwOTI2MTAzOTM3OTgzNzE4MC5qcGc=,单机榜,6668588,-,无
29,0,城市蜘蛛人英雄冬季版,天津羽仁科技有限公司,57476,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMDI1LzIwMTgxMDI1MTU0OTMxMzY1MzMyOC5qcGc=,单机榜,6747598,-,无
30,0,小玛丽捕鱼-正版赢话费,乐其互动(武汉）网络科技有限公司,20929,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNDAyLzIwMTgwNDAyMTcyMDA1NTI1NDU4MC5wbmc=,单机榜,2373857,-,无
