排名,排名变化,游戏名称,发行公司,昨日新增下载量,icon,类别,appid,公司名称,公司链接
56,新进榜,Blocks Stacked - Tower fun,,-,,游戏,6264751,-,无
57,117,自我剑：剑闲置唱首歌,Betdon,-,https://gcontent-cdn.aso100.com/pic/view_gcontent/type/icon/source/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL3RBMHBvTkNKMHExQXdKYnhWazRHTVE0cWdLVGVfdzBpTDFNeUV6eFpiX19iWGR5MWhmT3RuMUVOS0tQZERIeUs1N2c9czE4MA==,游戏,5733113,-,无
58,新进榜,Tycoon Casino: Free Vegas Jackpot Slots,,-,https://gcontent-cdn.aso100.com/pic/view_gcontent/type/icon/source/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL2hjQm56Vzc2anNoakp5VjVEUjg5ZW5CVHVRNnNuTTA1MVNoeDFOMTlRbjJtZFhaZTFOczFEU3VWSHpEcDF3UnBpRzA9czE4MA==,游戏,6675888,-,无
59,-10,Lucky Day - Win Real Money,"Lucky Day Entertainment, Inc.",-,https://gcontent-cdn.aso100.com/pic/view_gcontent/type/icon/source/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL0hMTUkzMWNCcUs0YzBLcURSZ2ZvSHRPeGkwRzd3MFlHUWZKdjFZSWV2eWZWZzRzVGx1TGs1UTFzaFlmNFRZbzRGc0U9dzMwMA==,游戏,1766985,-,无
60,新进榜,My Story: Choose Your Own Path,Nanobit Games,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjU4ODAzNl8xNTEyNjI0MDc0LzI1Ng==,游戏,3389261,-,无
61,37,Trigon! Free 1010 Puzzle Game,海沙工作室,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2FuZHJvaWQtYXJ0d29ya3MuMjVwcC5jb20vZnMwOC8yMDE4LzA2LzA1LzgvMTA5X2JiNDI3YzAxNTA0YTY5OTM0NWZhMmY4OWNiMTM0NGY0X2Nvbl8xMzB4MTMwLnBuZw==,游戏,5932006,-,无
62,353,先发制人,Blindflug Studios AG,-,https://android-artworks.25pp.com/fs08/2018/09/25/7/109_be97cc42c1d74fced5967268f08e4fe4_con_130x130.png,游戏,5399281,-,无
63,新进榜,Final Fantasy XV: A New Empire,互联网,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjU0MjA4OF8xNTM5NDAzNTgyLzI1Ng==,游戏,3433825,-,无
64,10,Clawee - A real claw machine,,-,https://android-artworks.25pp.com/fs08/2018/10/21/1/109_15de1c2192d3ba6c6052910d30471051_con_130x130.png,游戏,6557189,-,无
65,170,蘇丹的遊戲,,-,,游戏,6466974,-,无
66,102,Tides of War,互联网,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjU1MjUzNF8xNTEyNjIzMjczLzI1Ng==,游戏,3548822,-,无
67,14,Planet Commander,GDCompany,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjU0NDE1M18xNTMyOTk1MTU4LzI1Ng==,游戏,3412764,-,无
68,新进榜,Word Connect : Word Cookies,TDP APPS,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjU5MjUxNV8xNTEyNjQ0MDIzLzI1Ng==,游戏,4689073,-,无
69,381,Popular Wars Free - supreme leader,,-,https://gcontent-cdn.aso100.com/pic/view_gcontent/type/icon/source/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL0FlRlp4T1ZkamNCbEt1TXdsSnNKeTM1S0ZBSHRKYTdlemEzbTFTN1FNYVdYV2I2enRDbHVHLW05NGllZHNhdk5HQm89czE4MA==,游戏,6825524,-,无
70,新进榜,Roller Coaster Simulator 2016,海沙工作室,-,https://android-artworks.25pp.com/fs08/2017/03/17/3/109_257b83666e042d72be020fce70618838_con_130x130.png,游戏,2191486,-,无
71,新进榜,Chairlift Simulator 2017,Tap - Free Games,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjU5MzU0OF8xNTEyNjQ1ODg4LzI1Ng==,游戏,4929399,-,无
72,新进榜,Junkyard Tycoon - Business Game,,-,https://android-artworks.25pp.com/fs08/2018/12/04/11/109_aea4c08b49bc875c3f103993909eb446_con_130x130.png,游戏,6607239,-,无
73,新进榜,Block Lite Craft 3D,,-,https://android-artworks.25pp.com/fs08/2018/11/13/8/109_9e3eb6d8773c6282a702cc5b7d85b524_con_130x130.png,游戏,6766877,-,无
74,新进榜,Words Crush: Hidden Themes!,BitMango,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl80MjM2MjAxM18xNTEyNTUwNzkyLzI1Ng==,游戏,1934085,-,无
75,-53,US Police Car Transport: Cruise Ship Simulator,,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2FuZHJvaWQtYXJ0d29ya3MuMjVwcC5jb20vZnMwOC8yMDE4LzA1LzEwLzUvMTA5X2NkZTU3NmRiZDgwYmE3YWViYjJmYzEzZjhlZDQ3OGI5X2Nvbl8xMzB4MTMwLnBuZw==,游戏,6068641,-,无
76,114,Underworld : The Shelter,,-,https://android-artworks.25pp.com/fs08/2018/11/22/10/109_75b225adb8d045703346352f5dc0eb0e_con_130x130.png,游戏,6776069,-,无
